ParticipantID,List_7,List_30,List_180,List_365,List_1825,List_5475,Indiff_Avg,k_7,k_30,k_180,k_365,k_1825,k_5475,k_avg,ln_k
DelayDiscountingTitrated Backup1-3041-1,999.0,974.0,937.0,599.0,219.0,99.0,637.8333333333334,0.000143000143000143,0.000889801505817933,0.0003735325506937033,0.0018341070734328904,0.001954087696253206,0.001662284949956183,0.0011428023198590098,-6.774271857631584
DelayDiscountingTitrated-2052-1,897.0,337.0,729.0,371.0,141.0,89.0,427.3333333333333,0.01640388596910336,0.0655786350148368,0.0020652339582380736,0.004644980245910719,0.003338191003594676,0.0018695808321789545,0.015650084503977094,-4.157278962395403
DelayDiscountingTitrated Backup1-3119-1,999.0,999.0,999.0,969.0,399.0,801.0,861.0,0.000143000143000143,3.33667000333667e-05,5.561116672227784e-06,8.764861387958211e-05,0.0008253510488550142,4.537706861856469e-05,0.00019005078184314975,-8.568219248656133
DelayDiscountingTitrated-1060-1,999.0,998.0,994.0,988.0,499.0,225.0,783.8333333333334,0.000143000143000143,6.68002672010688e-05,3.35345405767941e-05,3.3276024624258224e-05,0.0005501413786477064,0.0006291222729578894,0.00024264577116797666,-8.323907909967462
DelayDiscountingTitrated-2092-1,999.0,799.0,699.0,799.0,379.0,35.0,618.3333333333334,0.000143000143000143,0.008385481852315394,0.0023923064695596883,0.0006892176864916762,0.0008978205081866484,0.005035877364644488,0.002923950670699673,-5.834819607722661
DelayDiscountingTitrated-3092-1,999.0,937.0,481.0,975.0,97.0,47.0,589.3333333333334,0.000143000143000143,0.00224119530416222,0.005994455994455994,7.024938531787847e-05,0.00510097443863861,0.003703487807247644,0.002875560512137082,-5.8515076629918665
DelayDiscountingTitrated-1018-1,933.0,525.0,209.0,301.0,6.0,903.0,479.5,0.010258765885775532,0.03015873015873016,0.021026049973418396,0.006362353797842807,0.09077625570776256,1.9620038734406367e-05,0.026433629260377307,-3.633118243849766
DelayDiscountingTitrated Backup1-3081-1,987.0,687.0,473.0,399.0,287.0,175.0,501.3333333333333,0.001881603705311912,0.015186802523047065,0.00618980502701433,0.004126755244275071,0.0013612715383513913,0.0008610567514677103,0.004934549131577913,-5.311493971652786
DelayDiscountingTitrated-3137-1,998.0,999.0,799.0,799.0,499.0,99.0,698.8333333333334,0.000286286859433152,3.33667000333667e-05,0.0013975803087192323,0.0006892176864916762,0.0005501413786477064,0.001662284949956183,0.0007698129805468861,-7.169362955023894
DelayDiscountingTitrated-1105-1,974.0,499.0,513.0,475.0,277.0,501.0,539.8333333333334,0.0038134350249339984,0.03346693386773547,0.005273987437730128,0.0030281182408074983,0.0014301963305474506,0.00018191926648985135,0.007865765028040733,-4.84523547726706
DelayDiscountingTitrated-3028-1,799.0,699.0,519.0,375.0,14.0,9.0,402.5,0.03593777936706598,0.01435383881735813,0.005148790408906016,0.0045662100456621,0.03859099804305284,0.020111618467782852,0.01978487252497132,-3.9228376471793385
DelayDiscountingTitrated-2028-1,987.0,970.0,99.0,199.0,393.0,219.0,477.8333333333333,0.001881603705311912,0.0010309278350515464,0.050561167227833895,0.011027741446960832,0.0008463174038830214,0.0006513625654177353,0.01099985336407649,-4.50987333681112
DelayDiscountingTitrated-2090-1,980.0,975.0,893.0,775.0,701.0,693.0,836.1666666666666,0.0029154518950437317,0.0008547008547008547,0.0006656712703745179,0.0007954043305346885,0.00023371699919879624,8.091350557103982e-05,0.0009243098092372714,-6.986463251137856
