PID,DD_Indiff_Avg,DD_Kvalue
3112,558,-6.042300605
3125,528.5,-5.273398345
2125,365.6666667,0.047439272
3093,392,-4.401358233
1117,727.6666667,-3.297246349
3038,635.6666667,-6.704108041
2005,390.6666667,-4.604890781
2040,736.6666667,-6.016839997
3040,379.5,-2.784315903
1072,872.8333333,-7.026823716
1037,874.5,-7.850210615
3053,766,-8.061101087
3118,704.8333333,-4.468948496
3109,342.5,-0.54039683
1070,691,-5.578623571
1035,624,-5.77798969
2007,490.8333333,-5.32476556
3007,945,-7.965895459
3042,289.3333333,-3.628818244
1026,698.1666667,-3.393713286
3014,526.3333333,-5.296477814
3051,701,-6.084446539
1128,780,-5.054579039
2029,754.6666667,-4.995172457
1115,497.3333333,-4.087742506
3082,623.5,-5.036963702
2043,147.6666667,-1.851126914
2082,599.5,-5.612595349
1008,499.3333333,-4.24387898
3146,596,-5.248952596
1069,541,-3.401198324
3110,698.8333333,-5.721570222
1094,474.1666667,-1.809796473
2023,405,-0.538531178
2066,535.6666667,-3.172134092
3023,177.1666667,0.022218625
1011,986.5,-8.599549233
3030,456,-4.968013529
3075,459.3333333,-5.332964104
1028,12.33333333,2.118292217
3009,522.6666667,-5.141873602
2009,357,-4.363665871
3142,721,-6.965553876
3107,899.6666667,-8.402388982
1006,545.6666667,-4.136362802
1108,9.166666667,1.555431376
3034,784.5,-7.608678308
2034,216.3333333,-1.840137972
1050,742.6666667,-6.817727452
3129,888.6666667,-8.887885719
2027,751.8333333,-3.468939182
2062,628.5,-4.782073597
3062,780,-8.101239206
3010,624.8333333,-6.612003226
3055,381.8333333,-1.900057568
2010,991,-10.22522348
1022,283.5,0.799030659
2003,209.5,-2.983940593
2046,833.5,-7.669995247
3003,651.1666667,-6.964865107
1074,998.8333333,-10.38375729
1031,661,-6.389495948
2086,517.3333333,-3.388531714
1049,323.8333333,-3.825764896
3095,765.8333333,-4.181034803
1111,824.6666667,-8.512639792
2079,466,-4.67182571
2084,534.6666667,-4.729955032
1113,357,-2.68434338
3121,526.8333333,-4.474469027
2121,280.1666667,-2.454133534
3097,779.1666667,-7.84139751
1076,332.6666667,-1.922046197
1033,206.6666667,0.362008609
2001,112,-1.955703863
2044,514.8333333,-5.472584161
3036,647.6666667,-5.681215833
1041,509.3333333,-4.396742876
2025,192.1666667,-2.403482545
2060,560.3333333,-4.258444069
1017,2.333333333,3.320030758
3116,505.1666667,-5.236384086
1039,839.5,-6.253678237
3105,608.3333333,-3.849052447
2105,178.3333333,-2.309197108
3083,629.1666667,-5.935920256
2083,489.6666667,-3.628495688
1114,681.8333333,-5.873861552
3126,453.8333333,-4.406171817
1034,521.6666667,-2.357742582
1071,334,-1.912333178
2006,977.8333333,-10.18687771
3043,432.1666667,-4.55818996
3074,583.5,-6.053153001
3031,732.3333333,-7.329352321
1046,656,-3.751576742
2067,429,-4.000310218
2022,765.6666667,-6.196707212
3067,342.1666667,-3.974033403
1010,249.5,-0.293247424
1068,1,3.428764639
3111,507.5,-5.708467723
1095,319,-3.373763102
3102,533.1666667,-5.600516875
3147,630,-6.39069389
2102,418.6666667,-4.143978859
1097,483.1666667,-4.515192073
2058,335.5,-1.223635628
2100,995.5,-10.11349295
1044,396.3333333,-2.933403886
2033,934.6666667,-5.695645547
2098,401.6666667,-3.979793675
2065,566.6666667,-5.311681206
2020,164.1666667,-1.870992653
3065,669,-5.125565739
3017,350.3333333,-3.825179394
2017,335.3333333,-0.70243851
1025,1,3.428764639
2004,183,-0.507910281
3004,867.1666667,-7.415613176
1036,55.83333333,1.953836647
1073,685.5,-4.473000754
2081,545.6666667,-3.536368214
2039,561,-5.288762004
3039,731,-7.278683141
3124,726.6666667,-7.654586401
1032,380.8333333,-2.889553167
1077,710.8333333,-7.167134346
1019,671.6666667,-6.53414637
3158,800.3333333,-7.873490188
1021,610.6666667,-3.421372698
3056,387.3333333,-4.196463028
3013,342,-4.199545816
1112,96.66666667,-1.059719781
3120,824.1666667,-8.134013471
3096,547.8333333,-3.793108681
2078,545.8333333,-5.518469971
3078,818.1666667,-7.304048102
2085,633.6666667,-5.419333646
1038,292.6666667,-2.538175899
2104,602.1666667,-5.016464176
1093,408.5,-1.40105139
2061,525,-4.780514271
3024,995.5,-10.03025122
1014,603.6666667,-5.169418581
3128,633.5,-6.369172916
3063,650,-4.899858051
1109,335,-2.587099291
3035,432.8333333,-2.051707174
3008,688.6666667,-6.563636395
3106,429.3333333,-3.825005576
3143,669.3333333,-6.442943084
2106,373.6666667,-2.965659763
1091,292.6666667,-1.715377163
1029,614,-3.157361037
3115,564.1666667,-5.901696288
3122,380.6666667,-4.399854949
2122,380.8333333,-4.064027213
3094,526.8333333,-5.817799247
3069,513.6666667,-4.308846826
1110,441.5,-3.073727948
2087,576.3333333,-5.171609759
1088,251.6666667,-0.630918949
2047,691.1666667,-3.376321115
2002,639.6666667,-5.657342593
3047,513.3333333,-4.290798116
3002,504,-3.57467377
1030,381.6666667,-1.325470479
1075,201.5,0.097178016
2011,738,-5.563292545
